userWallet,num_transactions,num_deposit,num_borrow,num_repay,num_liquidationcall,num_redeemunderlying,total_deposit_usd,total_borrow_usd,total_repay_usd,first_tx,last_tx,deposit_to_borrow_ratio,repay_to_borrow_ratio,active_days,avg_tx_per_day
0x000f4432a40560bbff1b581a8b7aded8dab80026,25,0,0,0,0,0,3.1488764002887654e+22,17603979119.70302,17566377247.4764,1619465677,1621033345,1788729910934.9814,0.997864012904643,19.144305555555555,1.3058713426533854
0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,0,0,0,0,0,4.094270498824155e+25,3.443628028011006e+25,3.4334725650694293e+25,1619206675,1619450928,1.1889409847755685,0.9970509407929746,3.827002314814815,19.07498192969669
0x000f908720f9ce164d90f4fc89459fab4442907f,96,0,0,0,0,0,1.533514206332144e+21,7.964431003956309e+20,7.927758701469055e+20,1623475570,1623592531,1.925453564191058,0.9953954899641874,2.353715277777778,40.78658149792733
0x000fbfec300959d0f2f327728a889c1f5de8e2df,8,0,0,0,0,0,5.914282535689781e+20,1.4001063060029029e+20,1.3970001148776587e+20,1625412745,1626107012,4.224166772431864,0.9977814605134435,9.035497685185184,0.885396718447174
0x0011730224657eb527cf736039854c3a3f140e63,4,0,0,0,0,0,1.5073242050250017e+21,7.380253561825902e+20,7.380253561825902e+20,1618849121,1618849259,2.0423745504105475,1.0,1.0015972222222222,3.993621299313596
0x00120ea6fdbaf057eadc1bd149f957488444e92c,4,0,0,0,0,0,2.6112589171173402e+20,2602967.788219515,2616377.4015531503,1625501389,1625506105,100318525989232.23,1.0051516631874278,1.0545833333333334,3.7929672066376923
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,0,0,0,0,0,2.2961814875215222e+18,0.0,0.0,1626596344,1626836136,2.2961814875215224e+24,0.0,3.7753703703703705,0.5297493500760289
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,231,0,0,0,0,0,1.838633810321085e+22,4.965173744632387e+21,9.351319572950626e+20,1621113983,1626471036,3.7030603658305905,0.18833821440911092,63.002928240740744,3.666496247877955
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,1,0,0,0,0,0,0.0,0.0,0.0,1626190751,1626190751,0.0,0.0,1.0,1.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,0,0,0,0,0,2.0424043145808832e+17,0.0,0.0,1622111460,1622111460,2.0424043145808834e+23,0.0,1.0,1.0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,0,0,0,0,0,2435337.781859825,0.0,0.0,1626568729,1627095273,2435337781859.825,0.0,7.0942592592592595,0.28191808713357175
0x0014dfac19477a83d7354e6eaac28642c1959398,36,0,0,0,0,0,8.672151626282625e+22,18149001627.910835,18188824774.686096,1621622844,1624231483,4778307812230.271,1.0021942334675875,31.192581018518517,1.1541205897205942
